"","Id","Point_IDs","Latitude","Longitude","coords.x1","coords.x2"
"1",0,"WW08-A",44.9716462199,-93.3943895599,468900.742387289,4979876.31016651
"2",0,"WW08-B",44.971661647,-93.3958223724,468787.767519721,4979878.57457677
"3",0,"WW09-A",44.9712570277,-93.395859189,468784.644899999,4979833.6409
"4",0,"WW09-B",44.9712353973,-93.3943646792,468902.482325201,4979830.66366477
"5",0,"WW10-B",44.9708452013,-93.3958664319,468783.850363255,4979787.89522747
"6",0,"WW11-A",44.9704505561,-93.3958937906,468781.478900001,4979744.0659
"7",0,"WW11-B",44.9704318326,-93.3950510732,468847.921920841,4979741.66179498
"8",0,"WW10-A",44.9708135678,-93.3948107169,468867.081935274,4979783.97518509
"9",0,"WW07-A",44.9704197054,-93.3845174755,469678.551091193,4979736.32088585
"10",0,"WW07-B",44.9704019937,-93.382379888,469847.103077867,4979733.55607762
"11",0,"WW06-A",44.9699677002,-93.3823508694,469849.163834202,4979685.30103242
"12",0,"WW06-B",44.9699814772,-93.3846178356,469670.406155499,4979687.67708548
"13",0,"WW05-A",44.9695719214,-93.3862625888,469540.489993102,4979642.797509
"14",0,"WW04-A",44.969101059,-93.3832552095,469777.395649743,4979589.36542105
"15",0,"WW04-B",44.9691217588,-93.3867193342,469504.23388083,4979592.96212465
"16",0,"WW03-A",44.968655526,-93.3868067694,469497.091837524,4979541.20273908
"17",0,"WW03-B",44.9686229256,-93.3837733702,469736.283279346,4979536.44444296
"18",0,"WW02-A",44.9681771136,-93.3848138814,469653.995262766,4979487.30959884
"19",0,"WW02-B",44.9681950381,-93.3868465966,469493.707044204,4979490.06364029
"20",0,"WW01-A",44.9677899531,-93.3870231372,469479.570429983,4979445.13053189
"21",0,"WW01-B",44.9677652356,-93.3850518745,469635.010073672,4979441.6445321
"22",0,"WW05-B",44.9695526817,-93.3831258357,469787.834851668,4979639.48648452
"23",0,"CG01-A",44.8122302917,-92.9002766351,507885.355443503,4962096.74632173
"24",0,"CG01-B",44.8122188157,-92.8979880208,508066.323031601,4962095.69605271
"25",0,"CG02-A",44.8117959566,-92.8977427706,508085.774615498,4962048.74768501
"26",0,"CG02-B",44.8118280446,-92.9005667321,507862.471459125,4962052.03514677
"27",0,"CG03-A",44.8113488514,-92.9004253292,507873.717787522,4961998.81829526
"28",0,"CG03-B",44.811335167,-92.8971996814,508128.782975443,4961997.61566182
"29",0,"CG04-A",44.8108616202,-92.8973136925,508119.834164396,4961945.00096813
"30",0,"CG04-B",44.8108625328,-92.9004100743,507874.990226916,4961944.79773865
"31",0,"CG05-A",44.8103405505,-92.9000936583,507900.081810063,4961886.84475476
"32",0,"CG05-B",44.8103399353,-92.8971261904,508134.734063946,4961887.06905198
"33",0,"CG06-A",44.8098850979,-92.8970581537,508140.178031861,4961836.55088397
"34",0,"CG06-B",44.8099017204,-92.9000881577,507900.576677099,4961838.0984509
"35",0,"CG07-A",44.8094724698,-92.9002488549,507887.927975415,4961790.40013819
"36",0,"CG07-B",44.8094534469,-92.8971413546,508133.659545812,4961788.59320219
"37",0,"CG08-A",44.80903302,-92.8976574446,508092.907956437,4961741.8391642
"38",0,"CG08-B",44.8090566106,-92.9005468676,507864.418818181,4961744.17612798
"39",0,"CG09-A",44.8085856381,-92.9005207082,507866.551431156,4961691.86134318
"40",0,"CG09-B",44.8085565335,-92.8980844324,508059.209538623,4961688.86692313
"41",0,"CG10-A",44.8081274058,-92.8981423555,508054.688856701,4961641.19214112
"42",0,"CG10-B",44.8081484115,-92.9002023093,507891.789162471,4961643.32350248
"43",0,"FS01-A",44.8722488004,-93.1939878541,484676.852349683,4968777.32195549
"44",0,"FS01-B",44.872646966,-93.1943762689,484646.277237007,4968821.62548353
"45",0,"FS02-A",44.8730654163,-93.1941071499,484667.645972997,4968868.05811634
"46",0,"FS02-B",44.8723995391,-93.1934192927,484721.803036985,4968793.95962117
"47",0,"FS03-A",44.8729492142,-93.1932327228,484736.685492433,4968854.98510745
"48",0,"FS03-B",44.8734716606,-93.1938238726,484690.129508155,4968913.13226809
"49",0,"FS04-A",44.8733783132,-93.1909054946,484920.623638507,4968902.21673252
"50",0,"FS04-B",44.8734913771,-93.1912533366,484893.177637229,4968914.84106639
"51",0,"FS05-A",44.8732002528,-93.1916108263,484864.863740982,4968882.56813076
"52",0,"FS05-B",44.8730384874,-93.1912060344,484896.79551168,4968864.52308461
"53",0,"FS06-A",44.872694977,-93.1914785911,484875.176509919,4968826.41501371
"54",0,"FS06-B",44.8728791664,-93.1918622976,484844.916019145,4968846.94719891
"55",0,"FS07-A",44.8726238188,-93.1922281467,484815.950678965,4968818.65028966
"56",0,"FS07-B",44.8723683135,-93.1918057874,484849.245694329,4968790.18863321
"57",0,"FS08-A",44.8720682665,-93.1921704792,484820.359779863,4968756.92606504
"58",0,"FS08-B",44.8724267128,-93.1927072904,484778.051291846,4968796.84449787
"59",0,"FS09-A",44.8722749694,-93.1932562966,484734.645172645,4968780.09115938
"60",0,"FS09-B",44.8717711567,-93.1925210719,484792.588054172,4968723.98727061
"61",0,"FS10-A",44.8714770924,-93.1928907731,484763.307429858,4968691.39048602
"62",0,"FS10-B",44.8721142204,-93.1937583353,484694.946432893,4968762.32887897
"63",0,"LL01-A",44.9722932286,-93.5893301489,453529.387225185,4980041.45102724
"64",0,"LL01-B",44.9741052893,-93.5893145596,453532.079871327,4980242.7381525
"65",0,"LL02-A",44.974097958,-93.5886695236,453582.935565836,4980241.55418286
"66",0,"LL02-B",44.9722821656,-93.5887012226,453578.971200324,4980039.86173535
"67",0,"LL03-A",44.9723496216,-93.5880474349,453630.578881988,4980046.98102647
"68",0,"LL03-B",44.9740906843,-93.5880298701,453633.366895602,4980240.38009284
"69",0,"LL04-A",44.9740834629,-93.5873951308,453683.410799215,4980239.21502247
"70",0,"LL04-B",44.973010564,-93.5874019794,453682.007137755,4980120.03401259
"71",0,"LL05-A",44.9726779882,-93.5867523178,453732.967038673,4980082.71822912
"72",0,"LL05-B",44.9740760781,-93.5867463524,453734.561573415,4980238.02418309
"73",0,"LL06-A",44.9740687443,-93.586102371,453785.334156107,4980236.84214837
"74",0,"LL06-B",44.9728417605,-93.5861093361,453783.799458861,4980100.5443926
"75",0,"NS08-B",44.3582647952,-93.1007604885,491970.386571796,4911670.71124947
"76",0,"NS01-A",44.3602359256,-93.0978105715,492205.727075766,4911889.36938861
"77",0,"NS01-B",44.358920095,-93.0962713251,492328.213966619,4911743.06849338
"78",0,"NS02-A",44.3586528918,-93.0968038184,492285.744937981,4911713.43893851
